spark,tensorflow,kafka,redis
77.24431983448454,37.21739100451561,32.87251840185618,31.330468853728895
53.405413852322624,66.26020622475778,70.60009540057452,69.50090682993454
49.83626106685338,30.16246041789165,29.621216874407907,56.705210273200485
61.68712324202179,35.22222681228539,61.96082951093637,68.33022855134257
51.18541494730359,52.73878841146641,51.31411877162542,41.21752007075328
36.76061513833606,56.79462466479166,46.951860483279866,70.66207646087706
40.387527370103555,29.75601433688435,42.78623869834039,44.143387078030685
54.493094766949575,46.65005240044847,50.981819913289925,75.33224072632352
72.46429889428497,53.120703539518786,80.73486487713446,48.40738569399449
57.278756774219055,43.595400399976015,102.42061650245631,52.73562060639955
58.87365022534908,51.22541649314155,39.574884373969354,115.31049118026895
73.68654280694169,51.976115948322,63.94646778639936,59.29517188002256
60.285682937569334,53.08677684491063,74.95850380502253,47.91214983488123
65.13957918321046,38.100615251634494,54.223378752041306,63.165708346909966
70.99617042535665,29.858026710105452,43.06287345000701,76.7485879721566
56.58238846222855,31.868481559256573,75.9122876983321,34.668525256672424
36.18938446210134,40.76552605596257,70.14110940219459,53.080458081802526
111.06938435895536,27.916900960169908,38.2171014238697,54.36399551505688
59.88939981295201,51.90221281811818,34.47897077640849,76.70133971648612
42.26172358119174,33.06390218944395,52.4733140793372,54.21047602786597
74.6448785993661,60.74050891862909,44.52615227696644,31.099924236163314
83.19025809711839,37.45480302217941,49.13698238864561,69.44221567981057
64.56113991919612,54.9796570401418,58.38176320034236,42.193016198401274
72.0939282929727,36.789272617385535,85.69597860404429,60.81556752692296
49.47163004402008,41.568437906702805,55.67712378456877,64.4389826436365
86.29123956399498,53.267746502465194,54.56346164136139,63.93977126250473
57.97585367691592,43.41372078807233,98.62101215739811,42.123025814829475
66.06729918710735,49.809998750195895,65.58512872917474,38.83871974686559
78.32714311162262,34.86939577624937,55.44781988321751,43.03028650085124
157.20134483456653,61.416984219413635,68.04424074340406,35.47439942320266
41.229435862077274,42.107268518681636,69.30296606354717,52.49625404796457
40.0915502208818,31.20306970198002,52.51969244348042,36.2441127665511
61.95958466437899,31.07991631724085,85.38454161110971,53.32177983321542
70.30369218159834,25.844702766402015,58.3665806540865,52.38121592269581
39.530063055969,64.18891748244008,68.72900393925939,58.373553024198095
55.18654939785308,54.75981320826988,46.732543203696274,48.45212305121784
90.66598949927253,28.5685787011861,56.47651945996256,47.649500820126086
72.82090536446509,46.74816747735042,48.23851218631257,48.86072301072083
43.349551269010675,28.89117264741826,45.916928934760556,62.57091173319547
60.15369242446569,60.421977999977926,52.23836872815204,59.198968891123684
61.921550489811686,40.78848642622646,50.10367066404523,37.98081032325499
74.85793962232482,65.43133197029555,29.48921014044801,31.10302087876686
75.13184707116643,45.52610359436082,84.608718864883,51.69340653486759
38.37578490463452,57.02274871577217,53.16616952605964,49.12574612411818
83.15565924618805,41.625428847849,58.77681860934811,54.671247463319744
44.291704803188445,43.727966992767634,52.68973267046591,54.48296978712177
63.78934722403018,58.55399690661728,50.078581520114994,37.31787384650695
80.07255385254194,42.13241794377222,29.04733048678792,65.9569628738637
64.84964610538141,31.796011817353588,89.74267205664756,44.18047855165737
50.590252122885644,48.78861617719521,40.97696776328806,61.29053605179427
58.39057706026987,52.2994793393813,88.82744085639465,35.8782182753811
67.54212039732023,52.76248944694458,68.53854004151209,34.07394079929414
74.6212053920585,44.751908072320035,67.75221732077179,22.547007384158135
57.68017763632444,35.88521802797557,61.390677206852175,59.31413391053502
47.92996554857405,50.40572656522101,69.99511979766496,84.2461400681142
58.392496453846476,47.828181941262194,84.45425297435835,56.193185773988844
68.59485381994234,39.828041391668144,71.43847939037501,36.80854845449488
61.76045178091874,42.64111220092095,31.945368793233378,40.24546342853282
56.09636148384699,52.30866562497097,61.77474244126205,44.056420248727804
38.654364433680385,27.131494224813277,82.29918458914291,33.884064479069245
83.76003399616833,36.47775903273501,47.325327873300466,42.52645501970583
59.51157760374416,30.963084021442413,39.85184387437639,58.84698358693919
67.77970954800527,48.41384894212968,72.45092265586838,44.393515806879016
49.21145168091294,43.16830846854058,62.24997351270345,63.93784751538741
33.907761456897454,43.27764317331701,66.33469315486344,45.48574972112607
56.77534487210815,37.33513349293488,34.990084442828696,71.14921550340217
55.51556856320222,58.92561155366661,26.925832848679633,55.15066837341234
79.379352478217,52.79388643207415,77.10346168232503,57.63789026186184
59.287402275013065,45.65638795998984,51.81768548804159,78.78854228272672
86.86286380733208,35.657948658868804,48.27280398369287,60.2161061694989
50.76687475525716,41.315513250150175,67.65632292550335,51.90875445610575
53.12051585681395,53.877833331479415,58.05245817192495,46.49824068135028
61.508639128394535,68.3925389156131,88.32923910991408,34.502257282158375
